Username,Review Date,Review
Mohit Solanki,Reviewed in India on 14 February 2022,The most important thing is to notice that in this 10100F model needs an external graphics card. That makes it a costly processor.
Ratheesh Kumar kp,Reviewed in India on 3 October 2023,Kerala Kozhikode
Ananya C,Reviewed in India on 16 August 2022,This is as a good processor but this processor requires separate graphics card. Without graphics card there will be no display.
ROHIT CHAUHAN,Reviewed in India on 9 February 2023,Sexy processor i3 10100F beat i7 9generation
Akshath Mada,Reviewed in India on 10 July 2021,"If you are buying this processor you need to have external graphics card , it doesn't have inbuilt VGA output...u need to spend extra on a external graphics card. Better go for 10100, the one without F..."
i3 10th generation,Reviewed in India on 7 May 2024,Maine i3 10th gen 10100f order kiya tha lekin aya 10105f my money loss ..😭😭.. return policy kam nahi kar raha hai 😭
dpsingh,Reviewed in India on 14 September 2022,This processor is very nice and vey cheap
Guramrit Singh,Reviewed in India on 2 November 2023,i bought 2 of these and its good for entry level gaming but not for the stuff i wanted to do unfortunately so the cpu and motherboard i bought are waste for me gotta get 100mb l3 cache cpu 6cores. overall okay cpu i3!
Muthuselvam,Reviewed in India on 3 March 2022,"This processor is not having internal GPU, hence if we don't have the external graphics card installed to the system, system won't boot. Please be informed with this information, I bought it without knowing this information and QA feedback shows it doesn't required additional graphics card. Don't get fooled with question and answers feedback."
NEHRU  VM,Reviewed in India on 1 November 2023,"Performance , Quality, Speed ,Value for Money  is  Good"
Placeholder,Reviewed in India on 20 October 2023,mast hai bhai le lo working is good.
Raja,Reviewed in India on 4 June 2023,Better than 10th gen I5 10600.What fo you ask for?Motherboards are really pricey now a days.
Shivashankar,Reviewed in India on 21 October 2022,"Those who are looking for budget processor for 'basic use' , they can go for it. This processor is perfect for them.  simply don't waste your money on high end processor , which may not required for your work."
lalit,Reviewed in India on 28 June 2023,Working fine
Chakradhar,Reviewed in India on 11 September 2022,This processor can run gta 5 at 29-30 fps with 8gb Ram and no graphics card!
Kavin Raj,Reviewed in India on 23 January 2024,Once it delivered... I unboxed the processor it has a broken blade...
Hiran K,Reviewed in India on 22 June 2022,affordable gaming CPU.marginal performance improvementcompare 12100 with asus h610 & 16gb 3000mhz ram to my i3 3570 3rd gen with B75 motherboard & 8gb 1600mhz ram on PUBG 10-20 fps increase.( crucial SSD and 1660 graphic card)but smooth no lagwill install windows11 and seebetter get 12400 or 12600 for gamingor wait 13th gen i5
Amazon Customer,Reviewed in India on 14 September 2023,"Can't launch even a small game, hangs all the time.  But it's with graphics processor but graphics doesn't work properly.  It is with graphics processor in name only."
dolcegra,Reviewed in Italy on 22 January 2024,"PROCESSORE TRANQUILLO PER UFFICIO.CON UNA POTENZA BASE DI 6OW E TURBO DI 89W LA CPU E' SILENZIOSA.E' OVVIO CHE SE LA SI FA' ANDARE AL 100 PER CENTO IN MULTY CORE LA VENTOLINA STOCK UN PO' SI SENTE  MA ,A MIO AVVISO ,ACCETTABILE.CON CINEBENCH 2024 HO RAGGIUNTO 60 GRADI MAX CON UN CASE HTPC(AIR FLOW NON ECCEZIONALE)E DIREI OTTIMO!POSSIBILITA' DI USARE DDR5 FINO 4800MHZ.CONCLUSIONE:PROMOSSO A PIENI VOTI."
Product kharap hai. On nhi ho raha. Or return nhi ho raha. Warrenty vi nhi de raha ye lok. Ye product kharap h kharid na mat. dur raho sob isse,Reviewed in India on 15 October 2023,Good product
Mohit Solanki,Reviewed in India on 14 February 2022,The most important thing is to notice that in this 10100F model needs an external graphics card. That makes it a costly processor.
Ratheesh Kumar kp,Reviewed in India on 3 October 2023,Kerala Kozhikode
Ananya C,Reviewed in India on 16 August 2022,This is as a good processor but this processor requires separate graphics card. Without graphics card there will be no display.
ROHIT CHAUHAN,Reviewed in India on 9 February 2023,Sexy processor i3 10100F beat i7 9generation
Akshath Mada,Reviewed in India on 10 July 2021,"If you are buying this processor you need to have external graphics card , it doesn't have inbuilt VGA output...u need to spend extra on a external graphics card. Better go for 10100, the one without F..."
i3 10th generation,Reviewed in India on 7 May 2024,Maine i3 10th gen 10100f order kiya tha lekin aya 10105f my money loss ..😭😭.. return policy kam nahi kar raha hai 😭
dpsingh,Reviewed in India on 14 September 2022,This processor is very nice and vey cheap
Guramrit Singh,Reviewed in India on 2 November 2023,i bought 2 of these and its good for entry level gaming but not for the stuff i wanted to do unfortunately so the cpu and motherboard i bought are waste for me gotta get 100mb l3 cache cpu 6cores. overall okay cpu i3!
Muthuselvam,Reviewed in India on 3 March 2022,"This processor is not having internal GPU, hence if we don't have the external graphics card installed to the system, system won't boot. Please be informed with this information, I bought it without knowing this information and QA feedback shows it doesn't required additional graphics card. Don't get fooled with question and answers feedback."
NEHRU  VM,Reviewed in India on 1 November 2023,"Performance , Quality, Speed ,Value for Money  is  Good"
Placeholder,Reviewed in India on 20 October 2023,mast hai bhai le lo working is good.
Raja,Reviewed in India on 4 June 2023,Better than 10th gen I5 10600.What fo you ask for?Motherboards are really pricey now a days.
Shivashankar,Reviewed in India on 21 October 2022,"Those who are looking for budget processor for 'basic use' , they can go for it. This processor is perfect for them.  simply don't waste your money on high end processor , which may not required for your work."
lalit,Reviewed in India on 28 June 2023,Working fine
Chakradhar,Reviewed in India on 11 September 2022,This processor can run gta 5 at 29-30 fps with 8gb Ram and no graphics card!
Kavin Raj,Reviewed in India on 23 January 2024,Once it delivered... I unboxed the processor it has a broken blade...
Hiran K,Reviewed in India on 22 June 2022,affordable gaming CPU.marginal performance improvementcompare 12100 with asus h610 & 16gb 3000mhz ram to my i3 3570 3rd gen with B75 motherboard & 8gb 1600mhz ram on PUBG 10-20 fps increase.( crucial SSD and 1660 graphic card)but smooth no lagwill install windows11 and seebetter get 12400 or 12600 for gamingor wait 13th gen i5
Amazon Customer,Reviewed in India on 14 September 2023,"Can't launch even a small game, hangs all the time.  But it's with graphics processor but graphics doesn't work properly.  It is with graphics processor in name only."
dolcegra,Reviewed in Italy on 22 January 2024,"PROCESSORE TRANQUILLO PER UFFICIO.CON UNA POTENZA BASE DI 6OW E TURBO DI 89W LA CPU E' SILENZIOSA.E' OVVIO CHE SE LA SI FA' ANDARE AL 100 PER CENTO IN MULTY CORE LA VENTOLINA STOCK UN PO' SI SENTE  MA ,A MIO AVVISO ,ACCETTABILE.CON CINEBENCH 2024 HO RAGGIUNTO 60 GRADI MAX CON UN CASE HTPC(AIR FLOW NON ECCEZIONALE)E DIREI OTTIMO!POSSIBILITA' DI USARE DDR5 FINO 4800MHZ.CONCLUSIONE:PROMOSSO A PIENI VOTI."
Awaddd,Reviewed in the United Kingdom on 27 April 2024,Really good and can basically run any game I throw at it.(Paired with a 1650 Ventus
Kristopher K.,Reviewed in Germany on 31 March 2023,"Dieser Prozessor hat sich als eine gute Wahl für meinen Low-Budget-PC herausgestellt. Er bietet ausreichend Leistung für alltägliche Aufgaben wie Surfen im Internet und Bearbeiten von Dokumenten. Auch einfache Spiele laufen problemlos. Der Turbo-Boost sorgt für zusätzliche Power, wenn sie benötigt wird. Der Preis ist im Vergleich zu höheren Modellen sehr erschwinglich. Ich bin mit dem Intel Core i3-10105F sehr zufrieden und würde ihn jedem empfehlen, der einen kostengünstigen PC bauen möchte.Mein Patenkind konnte Fortnite problemlos auf meinem Low-Budget-PC mit dem Intel Core i3-10105F und einer RTX 2070 Super spielen. Natürlich gibt es Grenzen für komplexe Anwendungen und Spiele, aber für alltägliche Aufgaben und einfache Spiele ist dieser Prozessor vollkommen ausreichend. Die Installation war einfach und die Leistung ist stabil. Wenn man bedenkt, dass es eine preisgünstige Option für einen Prozessor der 10. Generation ist, bin ich sehr zufrieden damit."
Lorenzo Ruiz,Reviewed in Australia on 16 November 2021,"Was tired of salvaging old pc parts, just not reliable long term esp. if you have important files. Future proofed myself for the next few years with this intel i3 10th gen comet lake refresh cpu. See 3rd picture for benchmark. Happy with purchase!"
Raoul,Reviewed in Mexico on 18 May 2022,Increible funciona de maravilla junto con 16gb de ram TEAMGROUP T-Force Vulcan Z DDR4 y una Asus TUF-GTX1650-O4GD6-P-GAMING todo en una Asus Prime H510M-E INCREIBLE corre desde Escape from Tarkov hasta Elden Ring lo recomiendo mucho
SeFra,Reviewed in Italy on 25 November 2022,"Lasciate perdere commenti o recensioni di gente che capisce poco di informatica...questo non è un semplice processore SOLO da ufficio o internet, è un gran bel processore con un prezzo incredibile...non esiste nessun processore sotto i 130 euro che lontanamente si avvicini alle sue prestazioni..abbinatelo ad una buona scheda video e vi darà grandi soddisfazioni anche in game. Ottima la stabilità. Lo consiglio."
Bruno wescley de castro Miranda,Reviewed in Brazil on 20 January 2023,"Ótimo processador custo benefício, tinha um i7 da terceira geração e esse mesmo sendo i3 é superior aos top das linhas passadas, meus jogos melhoraram bastante com minha GTX 1660"
C. M.,Reviewed in France on 27 May 2023,"Bon marché et efficace pour une utilisation basique, génération plus âgée."
Kuba,Reviewed in the Netherlands on 2 October 2023,Waar is mijn geld!!! Ik wacht 4 weeken op
Gabriel Vilas,Reviewed in Spain on 19 September 2023,Por el precio que tiene es el mejor procesador del mercado para un uso normal o gaming básico.El procesador con el disipador de serie funciona sin problemas y no veo necesario buscar otra solución de refrigeración a no ser que se quiera hacer un uso realmente intenso y en tal caso un disipador de 20/30€ te hace el apaño y más.
Feng Yang,Reviewed in the United Kingdom on 20 September 2021,"Too good to not not-leave a review. Got it £75, each core cost only £19. played a set of games, Performance is close to I5 10400F. very happy with it. it is cool and quite, the MAX temperature I have is about 55c with a budget cooler master cooler."
ARUN,Reviewed in India on 24 April 2024,The processor was very power efficient i develop android apps and web development and for this the processor was beast and I do some little gaming with rx580 which combination was superb  with 5400mhz ddr5 memory 1 tb ssd . . .
Ayush,Reviewed in India on 14 May 2024,Try to get it under 10k and check the rankings in details sections before buying anything
Hruaia,Reviewed in India on 24 March 2024,"I upgrade from 9400f. The performance gain is a huge. I use cooler master hyper 212 with this and my cbinet have 3 intake 2 exhaust fan, Temp never cross 60°c even when full load stress test. The efficiency of this processor is incredible runs below 1.2 volt. It never reach 1.2v even when doing Multi core stress test.If you're building mid range PC for gaming purpose this is the cpu you should consider. At this price point there's nothing that can beat this processor."
Yavvari,Reviewed in India on 18 February 2024,"This will not work without graphic card, So be careful before ordering."
Mr.GeAr,Reviewed in India on 7 April 2024,Best 👌 gaming and multitasking processor at the price of 12k for budget pc of of 80 k arround
Joy Mukherjee,Reviewed in India on 28 January 2024,"It runs well for productivity tasks, 6 cores cpu is minimum requirement for smooth running any large software."
Sagar Jadhav,Reviewed in India on 30 November 2023,"Got at the cheapest price of 10250Rs in the sale. I was a bit worried about getting scammed since this Processor was never sold for this low price, but guess I was in luck. The performance is just as good as expected 😄"
Asad Shirazi,Reviewed in India on 27 December 2023,"This is the king in Price-to-performance ratio.Paired with a 1660S, most games are giving me 90-100 FPS on high settings."
Vijay David,Reviewed in India on 14 November 2023,"This one has no graphics processing unit and hence if you use this without graphics card, the bios will not boot.Other than that this is an excellent processor"
Gautam Kumar,Reviewed in India on 18 November 2023,
ARUN,Reviewed in India on 24 April 2024,The processor was very power efficient i develop android apps and web development and for this the processor was beast and I do some little gaming with rx580 which combination was superb  with 5400mhz ddr5 memory 1 tb ssd . . .
Ayush,Reviewed in India on 14 May 2024,Try to get it under 10k and check the rankings in details sections before buying anything
Hruaia,Reviewed in India on 24 March 2024,"I upgrade from 9400f. The performance gain is a huge. I use cooler master hyper 212 with this and my cbinet have 3 intake 2 exhaust fan, Temp never cross 60°c even when full load stress test. The efficiency of this processor is incredible runs below 1.2 volt. It never reach 1.2v even when doing Multi core stress test.If you're building mid range PC for gaming purpose this is the cpu you should consider. At this price point there's nothing that can beat this processor."
Yavvari,Reviewed in India on 18 February 2024,"This will not work without graphic card, So be careful before ordering."
Mr.GeAr,Reviewed in India on 7 April 2024,Best 👌 gaming and multitasking processor at the price of 12k for budget pc of of 80 k arround
Joy Mukherjee,Reviewed in India on 28 January 2024,"It runs well for productivity tasks, 6 cores cpu is minimum requirement for smooth running any large software."
Sagar Jadhav,Reviewed in India on 30 November 2023,"Got at the cheapest price of 10250Rs in the sale. I was a bit worried about getting scammed since this Processor was never sold for this low price, but guess I was in luck. The performance is just as good as expected 😄"
Asad Shirazi,Reviewed in India on 27 December 2023,"This is the king in Price-to-performance ratio.Paired with a 1660S, most games are giving me 90-100 FPS on high settings."
Vijay David,Reviewed in India on 14 November 2023,"This one has no graphics processing unit and hence if you use this without graphics card, the bios will not boot.Other than that this is an excellent processor"
Gautam Kumar,Reviewed in India on 18 November 2023,
Shivam s.,Reviewed in India on 10 October 2023,Box contents: Intel core i5 12400 processor chip and CPU fan/cooler. This processor is good for daily routine tasks but for heavy load usage and gaming go for the Intel core i5 13400 or 13500 processor.
Harisankar Sahoo,Reviewed in India on 26 March 2024,I am build my first pc this processor
Placeholder,Reviewed in India on 7 March 2024,I love this
Amazon Customer,Reviewed in India on 17 July 2023,Good and efficient 👍
Dr. Abdul Azeez,Reviewed in India on 15 January 2024,Getting optimal speed without any overheating issue
Zainul,Reviewed in India on 27 January 2024,I received this product without any defects
Mehebub Alam,Reviewed in India on 25 October 2023,Super
Mukesh Kumar gupta,Reviewed in India on 11 October 2023,Best deal rs.13200
GOA,Reviewed in India on 7 March 2023,"Ideal for regular work.I do some basic  photo and video editing too,  without any problems.Gamers / high end users should go for higher specs if the intention is higher usage."
Anshul Nimboria,Reviewed in India on 26 December 2022,Very powerfull processor in this range u dont need saparate graphic card if you are on low end pc games...u have a option for gaming untill u use graphic card.....pavking is original and recieved unused favtory packed processor....
Sarvkar Trading,Reviewed in India on 18 February 2024,"Nice Product, value for money"
pankaj raman,Reviewed in India on 26 May 2021,I am not a gamer. I just bought for my software purpose like MATLAB & Python and programming.  This processor on msi b460m-a pro runs so smooth with wd 500gb ssd. It turns on within 3-5 seconds. Earlier it took 10min to 1hr to open my Matlab on pentium core 2 duo. But on this it starts within 10 seconds. What an improvement.  Highly recommend for students and academic works.
Bijoy paul,Reviewed in India on 15 April 2024,Intel best processor
Premjit,Reviewed in India on 15 November 2020,Amazing CPU for the price if you mainly like to game on your pc. this is the best value processor in the market right now.Ryzen 5 3600 processor is overpriced right now and not worth that price premium.Just get an z490 and 4000mhz ram and see high fps gaming on budget.I am using msi z490 a pro and hyperx predator ram.
Tkroy,Reviewed in India on 6 June 2021,"Great value for money, but the stock chooler is inadequate, please buy a tower cooler to get the most out of this, it will get insanely hot if you don't get a good aftermarket cooler. Any time it hits 100% usage the temperature gets about 85°C and then thermal throttles."
Ashish Rana,Reviewed in India on 8 November 2022,It the one of the processor which all in one
Kuldeep Aggarwal,Reviewed in India on 26 April 2021,"Product was installed in the computer. After working for 7-10 days it has stopped working. Now I am unable to get any information where should I approach. I contacted supplier he say talk to Amazon, I am yet to contact Amazon"
Soumyaditya R.,Reviewed in India on 1 April 2023,SEAL BROKEN
Anirban P.,Reviewed in India on 24 November 2020,"It's a major step up from my i3 9400F, really loving the performance jumps between generations as the competition from AMD heats up. No thermal issues, but I am using an AIO cooler with 120mm radiator, so that's expected. I don't think I've seen it go above 50°C."
Placeholder,Reviewed in India on 11 March 2021,The heat fan of the processor should get upgraded from Intel. We only a single type of fan Intel provides with each of their processors. I mean look at AMD's. They contain way better than Intel. And yeah ❗ price is high too.
Gigi john,Reviewed in India on 25 March 2024,"I bought this i5 11400f in 2023 and still it does its job with no sweat. Well my purpose is editing in premier pro and gaming @1080p resolution. Paired with rtx 3060, its a beast at 1080p. Played competitive games and high graphics intense games like forza horizon 5 etc etc... Does its job fine. A common statement is intel processor's heat better than amd processors, well it is true. It heats very well, stock cooler not enough, my pc even shut downed 3 times when playing high end games used with stock cooler. A decent air cooler is enough to calm down this one, it is not unlocked in fact, so no explanation needed i guess. If u are gonna build a new pc build in 2024 or onwards , please consider 12th gen atleast because u can have great future upgradability chance. When said all these, i took this over 12400f because i felt this enough for my needs and it didn't disappointed me. When considering it is just an i5 i got flabbergasted by its performance fr. Many people say 11th gen is bad but i felt it as worthy for the money i spent and im not gonna do upgrades in future so... Yeah overall it is a good product and im happy with it👍. Once again, don't even consider any of 11th gen processors if u are gonna pc build in 2024 and future because 13th gen and 12 th gen is way more future proof that this 11th gen. So yeah that's it."
Lawrence,Reviewed in India on 1 November 2023,Good
Vijendra kumar meena,Reviewed in India on 8 October 2023,"The media could not be loaded.
                



Some time my cpu is hang"
Placeholder,Reviewed in India on 30 June 2022,"Good processor, have a background check about who is selling you this."
Milton,Reviewed in India on 29 July 2023,Compatible with Intel 500 series & select Intel 400 series chipset based motherboardsIntel Optane Memory SupportThermal solution includedPCIe Gen 4.0 Support
Gaming zone,Reviewed in India on 6 May 2023,I am very happy...like temparature...like perfomance...and naver heat..
Surender suthar,Reviewed in India on 19 November 2022,"The media could not be loaded.
                



This Processor in window 11 Smoothly runNormal gamming & ragular usese best processor"
Soumyajit Das,Reviewed in India on 11 September 2023,Received a seal broken used product .
Kumar Jayant,Reviewed in India on 17 January 2023,Worst packaging I have seen. A 100 ₹ item is better packed then this one. Fortunately it survived.
UMESH CHAND,Reviewed in India on 16 September 2022,बाजार के रेट से बहुत ज्यादा पैसे हैइतने पैसे में i7 आ जाता है बाजार से11 जनरेशन का आ जाता है
Krishna Priyo Hazra,Reviewed in India on 25 November 2023,Nice product.... You can go for it !!
Steven,Reviewed in the United States on 3 August 2023,"The Intel Core i5-13600K (Latest Gen) Desktop Processor is a true powerhouse, delivering unparalleled performance with its 14 cores, consisting of 6 P-cores and 8 E-cores. This processor has far exceeded my expectations, providing seamless multitasking and blazing-fast performance for all my computing needs.The standout feature of the Intel Core i5-13600K is its 14 cores, making it one of the most powerful processors in its class. The 6 primary cores (P-cores) are designed for single-threaded tasks and applications, ensuring lightning-fast responsiveness and smooth user experience. Additionally, the 8 efficient cores (E-cores) cater to multithreaded workloads, providing exceptional multitasking capabilities and maximizing productivity.With the latest generation technology, the i5-13600K unleashes the true potential of Intel's cutting-edge processor architecture. Whether I'm gaming, streaming, video editing, or running intensive software applications, this processor handles it all with ease.The integrated graphics of the i5-13600K eliminate the need for a discrete graphics card for everyday tasks and light gaming, providing a cost-effective and space-saving solution for those who don't require dedicated graphics processing.The unlocked multiplier of this processor allows for easy overclocking, making it an excellent choice for enthusiasts and gamers who want to push their system's performance even further.I appreciate the low power consumption of the i5-13600K despite its impressive performance, contributing to energy efficiency and reduced operating costs.The Intel Core i5-13600K is compatible with the latest motherboard chipsets, ensuring seamless integration and future upgradability.Intel is a trusted brand known for producing high-quality processors, and the i5-13600K continues that legacy, providing a reliable and stable computing experience.In conclusion, the Intel Core i5-13600K (Latest Gen) Desktop Processor with its 14 cores is a performance beast, capable of handling the most demanding computing tasks with ease. Its balanced combination of P-cores and E-cores, unlocked multiplier, integrated graphics, and energy efficiency make it an ideal choice for power users and gamers alike. If you're looking to unleash the full potential of your desktop, the Intel Core i5-13600K is the ultimate processor that won't disappoint. I highly recommend this processor for its outstanding performance and the incredible multitasking capabilities it brings to my computing experience!"
Joje LIBRE,Reviewed in Singapore on 30 July 2023,i5 1X600Ks are always that sweet spot!Great thermals and excellent performance!Time to buy a 7900 XTX!
Antonio herrera,Reviewed in Mexico on 24 May 2024,Es un poco caliente pero con muy bien rendimiento lo recomiendo
Just a dude,Reviewed in Canada on 29 March 2024,"Words cannot describe the change in performance.I thought my 9600k was still a decent chip before I upgraded. Now I see although it was decent, I was missing a lot. My rtx 2080 super didn’t get upgraded this year but I’m sure it’ll need to by next year as it’s now always peaked at 100% in games. While my gpu works a sweat trying to not burn itself to the ground, this 13600k sits around 20-30% usage and around 50 degrees Celsius in most situations.Depending on the motherboard, you may want to tweak “CPU lite load” settings. My MSI mobo defaulted to mode 12 and was causing overheating issues due to current. Now dialed back to mode 9, I have lost no performance what so ever, I actually gained almost a thousand extra points in cinebench by not letting it get hot.Overall I’m very happy and would highly recommend this cpu to anyone."
野村,Reviewed in Japan on 6 January 2024,コスパ良いです
João Paulo,Reviewed in Brazil on 26 April 2024,"É Intel né, só colocar e pronto. Lógico que você pode configurar algumas coisas para ter mais desempenho. Mas basicamente é só colocar que vai ter um ótimo desempenho. Sobre Durabilidade ou se vai ter algum problema, só o tempo pode mostrar."
YUDI UTOMO,Reviewed in Australia on 4 January 2023,Ahoy captain
Amazon Customer,Reviewed in Canada on 27 April 2024,"This processor was on the higher end of my budget, but oh man it was worth it. 6p, 8e cores totalling to 20 threads gives me ample compute to do all sorts of intensive tasks. I can run Cyberpunk 2077 at 1440p 60fps on ultra settings, run LLM workloads, transcode video and audio on the fly, all at the same time, and the processor will only be at 60% usage on all threads."
Alex trejo,Reviewed in Mexico on 8 January 2024,"Es una bestia de procesador, para montar desde una 3060 hasta una 4090, de los mejores"
Vikas Chamoli,Reviewed in India on 13 March 2023,Good condition and working properly
Juan_08,Reviewed in Spain on 23 April 2024,Un procesador rápido en todas las tareas de instituto como PowerPoint Excel CanvasCon un 7800xt nada de cuello de botellaViene con una refrigeración por aire mejor que generaciones pasadas y pasta termica preaplicada
david tower,Reviewed in Germany on 6 May 2024,Macht das was er soll der Wechsel von i5 3470 auf 13400f ist Hammer gut
Iwan Mulhall,Reviewed in the United Kingdom on 9 March 2024,This CPU is well priced and very fast for the price. Very happy customer indeed. Highly recommended!
Blah,Reviewed in France on 30 September 2023,"Le processeur Intel Core i5-13400F offre des performances solides à un excellent rapport qualité-prix.1. **Performances :** Les performances du i5-13400F sont impressionnantes, offrant une puissance de traitement rapide et efficace pour les tâches quotidiennes et les jeux.2. **Architecture :** Basé sur l'architecture Alder Lake, ce processeur bénéficie des dernières avancées technologiques, garantissant une efficacité énergétique accrue et des performances optimisées.3. **Multitâche :** La gestion du multitâche est robuste grâce à ses six cœurs et douze threads, permettant une exécution fluide de plusieurs applications simultanées.4. **Jeu :** Les performances en jeu sont convaincantes, offrant des fréquences d'images stables dans une large gamme de titres, en faisant un choix solide pour les joueurs sur un budget.5. **Refroidissement :** La consommation d'énergie modérée contribue à un fonctionnement relativement frais, bien que l'ajout d'un système de refroidissement efficace puisse optimiser davantage les performances.6. **Rapport Qualité-Prix :** Le i5-13400F offre un excellent rapport qualité-prix, idéal pour les utilisateurs cherchant des performances compétitives sans exploser leur budget.En résumé, le processeur Intel Core i5-13400F représente un choix équilibré pour ceux qui recherchent des performances fiables à un coût raisonnable, le plaçant comme un concurrent de choix sur le marché des processeurs milieu de gamme."
Sergio Ferraro,Reviewed in Italy on 5 April 2024,Anche essendo l’i5 più piccolo fa egregiamente il suo dovere. Mai un problema o un blocco nonostante abbia il suo dissipatore stock. Lo uso per produttività e qualche piccolo gioco. Consigliato
Jacek,Reviewed in Poland on 5 April 2023,"Procesor bardzo mocny, spokojnie przez lata obsłuży. Przesiadka z 5 generacji Intela na 13 :) Procesor przyszedł w wersji OEM, ale obsługa nadała mi zniżkę na zakup chłodzenia, więc jestem zadowolony. Gwarancja jest 2 lata, więc jest ok."
"Detta känns inte som en ny produkt när den packades upp ur leveranslådan, dem är uppenbarligen uppackad förr ev refurbished?",Reviewed in Sweden on 8 December 2023,
William Kakert,Reviewed in Belgium on 19 April 2024,tres content de la livraison et du produit
Carlos,Reviewed in the Netherlands on 28 July 2023,"Absolutely stunning cpu for the price, if you pair it with the 3060 you can play everything"
